path,series_id,kind,sha256,first_record,csv_records,error
data\AWHAETP.csv,AWHAETP,expected,8aecb176e6547d3e2143c8ce48401b08624caafe447f6beef9bc4564990f3af2,"[""observation_date"", ""AWHAETP""]",247,
data\AWHMAN.csv,AWHMAN,expected,f8bca392429bfdffb682eb4b222a56158e1016faea5e6d9d0e506a986b100a68,"[""observation_date"", ""AWHMAN""]",1053,
data\BUSLOANS.csv,BUSLOANS,expected,5ca0fd06cddfa00b0c4c0bbf150da616d9d54506eb46af8d88cb94d25e2975f9,"[""observation_date"", ""BUSLOANS""]",957,
data\CES0500000003.csv,CES0500000003,expected,c602b6f2be66970cf4d06fa376fd761ae6211e93c06bfe4ea337625a080d21e8,"[""observation_date"", ""CES0500000003""]",247,
data\CIVPART.csv,CIVPART,expected,1049ded2ce03ab114da6055c5783975eaf1adbd7b2d37770b5e661002f82c6e6,"[""observation_date"", ""CIVPART""]",945,
data\CPIAUCSL.csv,CPIAUCSL,expected,f8ecddf53a9a9a74dda92c2c4204e6039466fcb744bc74171b73b5f6aac48119,"[""observation_date"", ""CPIAUCSL""]",957,
data\CPILFESL.csv,CPILFESL,expected,cec76bf4c38dc062c63ccd3b576c21a54709ae3e3bf73ddbccb44e04384c559a,"[""observation_date"", ""CPILFESL""]",837,
data\DRBLACBS.csv,DRBLACBS,expected,8f32ed3d2240aef7f1a9e6aece0dce9141bcf821ce11a4e76ca63e14822fe739,"[""observation_date"", ""DRBLACBS""]",159,
data\DRSDCILM.csv,DRSDCILM,expected,f6fa715ce9bb99a2c87eb30b6b98c600c65e69d942a903ab3532dde3421756b9,"[""observation_date"", ""DRSDCILM""]",141,
data\DRTSCILM.csv,DRTSCILM,expected,a0d726001c73c410a6b5bc4af98edb4595bd9bd2cd23c70d25f0ee0c018bcdad,"[""observation_date"", ""DRTSCILM""]",147,
data\EXPGSC1.csv,EXPGSC1,expected,9304afc72c9e55443d8732678c361415ba45fdd7c0e4e58b3dcce6390de5ac77,"[""observation_date"", ""EXPGSC1""]",319,
data\FEDFUNDS.csv,FEDFUNDS,expected,4c3a0f601abf9db0a8298f9e972ae6627876c4232cda79b0bc43d3230aa0450d,"[""observation_date"", ""FEDFUNDS""]",867,
data\HOUST.csv,HOUST,expected,d531fdc59678e34d58c9b885d77714e8da6e442b4da21935341a54eda575fc4d,"[""observation_date"", ""HOUST""]",813,
data\ICSA.csv,ICSA,expected,8a17e65deb9d7c16245f36373d6bc2c1d1dd7221e4cf82af179d1394a2c5d3d0,"[""observation_date"", ""ICSA""]",3116,
data\IMPGSC1.csv,IMPGSC1,expected,6e1563b88de6989cff390e3347b7ba2a96c95a49ff327853a45774d495134ff2,"[""observation_date"", ""IMPGSC1""]",319,
data\INDPRO.csv,INDPRO,expected,e9668b9b92c9ea1904162e580d0e3e32e05f84efb213563ded6c322042b5ad22,"[""observation_date"", ""INDPRO""]",1292,
