Dataset 1,Dataset 2,Correlation,Overlapping observations,Category 1,Category 2,Overlap start,Overlap end
Industrial Production,Manufacturing Production,0.9560883315141447,654,Growth / Activity,Growth / Activity,1972-02-01,2026-07-01
Industrial Production,Real Personal Consumption Expenditure,0.7594489652384268,234,Growth / Activity,Growth / Activity,2007-02-01,2026-07-01
Industrial Production,Real Personal Income excluding transfers,0.47148682929356067,810,Growth / Activity,Growth / Activity,1959-02-01,2026-07-01
Industrial Production,Real Personal Income,0.004511207309738523,810,Growth / Activity,Growth / Activity,1959-02-01,2026-07-01
Industrial Production,Real Retail & Food Services Sales,0.5429437765450901,412,Growth / Activity,Growth / Activity,1992-02-01,2026-07-01
Industrial Production,Housing Starts,0.21604653324910764,810,Growth / Activity,Growth / Activity,1959-02-01,2026-07-01
Industrial Production,Building Permits,0.2072300376257489,798,Growth / Activity,Growth / Activity,1960-02-01,2026-07-01
Industrial Production,Nonfarm Payroll Employment,0.6407340889574615,1050,Growth / Activity,Labor,1939-02-01,2026-07-01
Industrial Production,Unemployment Rate,-0.594320900636186,940,Growth / Activity,Labor,1948-02-01,2026-07-01
Industrial Production,Average Weekly Hours — Total Private,0.2223618824665098,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Industrial Production,Average Weekly Hours — Manufacturing,0.5063004688221476,1050,Growth / Activity,Labor,1939-02-01,2026-07-01
Industrial Production,Job Openings,0.33852160420920224,307,Growth / Activity,Labor,2001-01-01,2026-07-01
Industrial Production,Labor Force Participation Rate,0.2207929899609996,940,Growth / Activity,Labor,1948-02-01,2026-07-01
Industrial Production,Average Hourly Earnings — Total Private,-0.6998096797399737,244,Growth / Activity,Labor,2006-04-01,2026-07-01
Industrial Production,CPI All Items,0.06468232992649701,952,Growth / Activity,Inflation,1947-02-01,2026-07-01
Industrial Production,Core CPI,0.035175668487585035,832,Growth / Activity,Inflation,1957-02-01,2026-07-01
Industrial Production,PCE Price Index,0.041324753720270044,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
Industrial Production,Core PCE Price Index,0.019943885874555284,810,Growth / Activity,Inflation,1959-02-01,2026-07-01
