,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,1.0,0.9560883315141447,0.7594489652384268,0.47148682929356067,0.004511207309738523,0.5429437765450901,0.21604653324910764,0.2072300376257489,0.6407340889574615,-0.594320900636186,0.2223618824665098,0.5063004688221476,0.33852160420920224,0.2207929899609996,-0.6998096797399737,0.06468232992649701,0.035175668487585035,0.041324753720270044,0.019943885874555284,0.2803787265050583,0.3333581475937503,-0.11657819340814604,0.19551335543441398,0.22551594745428702,-0.17418187322380493,-0.2121445079399475,0.9836908972962016
Manufacturing Production,0.9560883315141447,1.0,0.8079733659461156,0.48043609576883517,-0.045568772272471296,0.6166622968997635,0.2875575899708016,0.22438877560779988,0.7399529486365124,-0.6895593286158255,0.30116170188179764,0.6239840922470111,0.38913264876513437,0.43914457219305786,-0.7274894801038084,0.12070416071568989,0.056544211751451565,0.10026733143247724,0.05919213730774405,0.2808902025900349,0.20599283723621192,-0.3159680719662435,0.23226431240436918,0.25734987976808943,-0.22716752865983048,-0.22515137517685765,0.9384523854007857
Real Personal Consumption Expenditure,0.7594489652384268,0.8079733659461156,1.0,0.5972610777283346,-0.11411987360906284,0.9212848215917803,0.33852821075853723,0.3528709095855168,0.7846501749549302,-0.7635677574136712,0.2473785822795372,0.6795562547587989,0.41666588848894437,0.6963002917112873,-0.7636481982861237,0.2089637008577027,0.19448030766987304,0.19913370307534645,0.22748290244652467,0.24657975493489423,0.27415987082738774,-0.5341149732095443,0.14884741843321264,0.3100954553086046,-0.16186066784126868,-0.23713042865851078,0.7488481930129481
Real Personal Income excluding transfers,0.47148682929356067,0.48043609576883517,0.5972610777283346,1.0,0.1996610171268745,0.36335419279875153,0.17733993756669722,0.11965264947579357,0.5078177746913345,-0.4648869376569451,0.17679177187099007,0.3335327100104319,0.3776936858400244,0.2861923889209689,-0.4988369134356979,-0.10308877217206862,-0.000141282336895991,-0.14245034188697367,-0.08679465841345464,0.050226179502563195,-0.06194570491468059,-0.16710759725751875,0.1970754177057788,0.10442080811621275,-0.05300476822568715,-0.09787999798329003,0.44100238933645797
Real Personal Income,0.004511207309738523,-0.045568772272471296,-0.11411987360906284,0.1996610171268745,1.0,0.03360099388546094,0.08770072912591007,0.0027985432061926403,-0.270938193931337,0.3003294346263365,0.24185964420703224,-0.06806142562903413,-0.02651887399350727,-0.15623442780240246,0.24718376001328474,-0.12242896491088771,-0.09526505380557146,-0.11248546977502083,-0.09435919993961481,-0.10091953235049285,-0.11269110024344033,0.15837881107690677,0.009944447637017555,0.010617943349712144,0.0671527033146846,0.11844744170466942,-0.02027328539664183
Real Retail & Food Services Sales,0.5429437765450901,0.6166622968997635,0.9212848215917803,0.36335419279875153,0.03360099388546094,1.0,0.30560355919166304,0.32224771834403004,0.5490333733156305,-0.5175610532140149,0.35426208049320856,0.4553760174609087,0.33230893080212826,0.44149729473759974,-0.6415856536707308,0.13095869317058784,0.02766145323441869,0.1891542295339303,0.19289017317994495,0.2518530754406502,0.23756057725592475,-0.28820427349803773,0.11033659449567272,0.1442257203874371,-0.20221430936909832,-0.06346124108780933,0.5331068465054309
Housing Starts,0.21604653324910764,0.2875575899708016,0.33852821075853723,0.17733993756669722,0.08770072912591007,0.30560355919166304,1.0,0.3952693378071985,0.16749391697309948,-0.15222234923074213,0.1229349301878926,0.21777058549162764,0.1560232481477586,0.12951509694232105,-0.29640063337079786,0.001884618030997827,-0.033200498529774296,0.014042380798450521,0.002477991163320488,0.10655292128393387,0.025918768859365237,-0.1359366735073559,0.06147109289211669,-0.005736950415849165,-0.08742604912591039,0.012122123082339387,0.2364490827364121
Building Permits,0.2072300376257489,0.22438877560779988,0.3528709095855168,0.11965264947579357,0.0027985432061926403,0.32224771834403004,0.3952693378071985,1.0,0.15575082783958302,-0.15700383786182673,0.11579622122873288,0.21504713986276155,0.122242548470594,0.14458201958829495,-0.3166813276581637,-0.012541196020107876,-0.07467739488169724,0.016358912096957643,-0.014925697569105634,0.09207890080369459,0.053380687084804125,-0.146594577735158,0.04601122988457113,-0.09549442265124992,-0.1244948566803566,0.08498161822897386,0.21154633446578283
Nonfarm Payroll Employment,0.6407340889574615,0.7399529486365124,0.7846501749549302,0.5078177746913345,-0.270938193931337,0.5490333733156305,0.16749391697309948,0.15575082783958302,1.0,-0.8785816838019592,0.016112715715103882,0.3719502849051045,0.3343775935957078,0.4046080033555916,-0.8469216949745176,0.1547721624546036,0.12413484844660697,0.12956302000100492,0.11108595353936179,0.2729353863807038,0.2468602939209736,-0.24116667206313133,0.2537308148444412,0.1538647425346835,-0.19057818306802268,-0.34411652218402644,0.6771454014703089
Unemployment Rate,-0.594320900636186,-0.6895593286158255,-0.7635677574136712,-0.4648869376569451,0.3003294346263365,-0.5175610532140149,-0.15222234923074213,-0.15700383786182673,-0.8785816838019592,1.0,-0.02323061069246296,-0.39253870590638573,-0.3069816951047804,-0.293734662120432,0.8290332372229251,-0.11415393713740837,-0.06615028315456079,-0.0727297111309741,-0.057266907168516575,-0.25740323390843134,-0.19091771717116093,0.3218689322940524,-0.17995144684990227,-0.13051334348146537,0.16382377014128344,0.3292301348990075,-0.6386281358729581
Average Weekly Hours — Total Private,0.2223618824665098,0.30116170188179764,0.2473785822795372,0.17679177187099007,0.24185964420703224,0.35426208049320856,0.1229349301878926,0.11579622122873288,0.016112715715103882,-0.02323061069246296,1.0,0.38027843063452,0.31481043907189243,0.04954635602337325,-0.07570968989076188,0.09567826151819596,-0.12673086742752976,0.0879458569044636,-0.06700492030931073,0.08460348120210946,0.12245420111040677,0.0747984264872367,0.011463507000029478,0.037340482462102795,-0.03056281970869264,0.14863069844295923,0.23251656457353023
Average Weekly Hours — Manufacturing,0.5063004688221476,0.6239840922470111,0.6795562547587989,0.3335327100104319,-0.06806142562903413,0.4553760174609087,0.21777058549162764,0.21504713986276155,0.3719502849051045,-0.39253870590638573,0.38027843063452,1.0,0.32487801374238084,0.25401876375458665,-0.6890722412572714,0.05561853513873452,0.03990204081712142,0.054047451657555964,0.02001721907017684,0.27837276642395453,0.1172730886403176,-0.15879010880685274,0.039457149556572334,0.13287957437239126,-0.12942442541171492,-0.1299750982577365,0.5666366785991844
Job Openings,0.33852160420920224,0.38913264876513437,0.41666588848894437,0.3776936858400244,-0.02651887399350727,0.33230893080212826,0.1560232481477586,0.122242548470594,0.3343775935957078,-0.3069816951047804,0.31481043907189243,0.32487801374238084,1.0,0.3112883396333262,-0.3005026208864948,0.1173221354593566,0.0735775303755275,0.0957021892455188,0.04100629100232384,0.2938363594155655,0.2118472659635792,-0.16294445698566926,0.09060554060230425,0.1664405802711169,-0.07782653993159477,-0.03331409587644981,0.34757408392030065
Labor Force Participation Rate,0.2207929899609996,0.43914457219305786,0.6963002917112873,0.2861923889209689,-0.15623442780240246,0.44149729473759974,0.12951509694232105,0.14458201958829495,0.4046080033555916,-0.293734662120432,0.04954635602337325,0.25401876375458665,0.3112883396333262,1.0,-0.6638326995424982,0.09400078154167278,0.10308219074819068,0.1280783377051994,0.1142522812718365,0.23971688736311084,0.11147308787497087,-0.15335853264158436,0.11805984060351014,0.04719375235939425,-0.09438631312430584,-0.19473048403149898,0.35335291921285933
Average Hourly Earnings — Total Private,-0.6998096797399737,-0.7274894801038084,-0.7636481982861237,-0.4988369134356979,0.24718376001328474,-0.6415856536707308,-0.29640063337079786,-0.3166813276581637,-0.8469216949745176,0.8290332372229251,-0.07570968989076188,-0.6890722412572714,-0.3005026208864948,-0.6638326995424982,1.0,-0.11821560185292994,-0.07785871111631516,-0.07894122588095925,-0.0677818774278459,-0.15805842838196746,-0.18901166762888374,0.4892904136007625,-0.1235361246062711,-0.1958004356686028,0.10484167485085234,0.33631179448879694,-0.6826167127931392
CPI All Items,0.06468232992649701,0.12070416071568989,0.2089637008577027,-0.10308877217206862,-0.12242896491088771,0.13095869317058784,0.001884618030997827,-0.012541196020107876,0.1547721624546036,-0.11415393713740837,0.09567826151819596,0.05561853513873452,0.1173221354593566,0.09400078154167278,-0.11821560185292994,1.0,0.6788806538636484,0.9112860212995306,0.6600767843777489,0.666551411246557,0.628779899887736,0.12833645155633697,0.1339916869168439,0.07268946611435008,-0.22207563612008488,-0.08251721005083751,0.07250282232443807
Core CPI,0.035175668487585035,0.056544211751451565,0.19448030766987304,-0.000141282336895991,-0.09526505380557146,0.02766145323441869,-0.033200498529774296,-0.07467739488169724,0.12413484844660697,-0.06615028315456079,-0.12673086742752976,0.03990204081712142,0.0735775303755275,0.10308219074819068,-0.07785871111631516,0.6788806538636484,1.0,0.6510270525516043,0.7766688298528464,0.3414931446907552,0.22804085123888865,0.04690592823137368,0.10196022089919612,0.08785987118034047,-0.08433507502020103,-0.04320515111880654,0.026062102261903107
PCE Price Index,0.041324753720270044,0.10026733143247724,0.19913370307534645,-0.14245034188697367,-0.11248546977502083,0.1891542295339303,0.014042380798450521,0.016358912096957643,0.12956302000100492,-0.0727297111309741,0.0879458569044636,0.054047451657555964,0.0957021892455188,0.1280783377051994,-0.07894122588095925,0.9112860212995306,0.6510270525516043,1.0,0.8306264240669015,0.7330845307753344,0.6195002613184067,0.06948887134138872,0.1314327419261388,0.08193747628977024,-0.23065600429193908,-0.035938593891352455,0.05751593068160759
Core PCE Price Index,0.019943885874555284,0.05919213730774405,0.22748290244652467,-0.08679465841345464,-0.09435919993961481,0.19289017317994495,0.002477991163320488,-0.014925697569105634,0.11108595353936179,-0.057266907168516575,-0.06700492030931073,0.02001721907017684,0.04100629100232384,0.1142522812718365,-0.0677818774278459,0.6600767843777489,0.7766688298528464,0.8306264240669015,1.0,0.536217923135199,0.30561083546659157,0.05299123663421378,0.09151753520382246,0.0564506777183369,-0.1457899420476925,0.009742835220203484,0.025936379787630783
Producer Prices — Final Demand,0.2803787265050583,0.2808902025900349,0.24657975493489423,0.050226179502563195,-0.10091953235049285,0.2518530754406502,0.10655292128393387,0.09207890080369459,0.2729353863807038,-0.25740323390843134,0.08460348120210946,0.27837276642395453,0.2938363594155655,0.23971688736311084,-0.15805842838196746,0.666551411246557,0.3414931446907552,0.7330845307753344,0.536217923135199,1.0,0.8148299672153587,-0.23606241367543807,0.14390148327234523,0.1212060928251608,-0.14705705910795633,-0.09258894623280722,0.29833071251285853
Producer Prices — All Commodities,0.3333581475937503,0.20599283723621192,0.27415987082738774,-0.06194570491468059,-0.11269110024344033,0.23756057725592475,0.025918768859365237,0.053380687084804125,0.2468602939209736,-0.19091771717116093,0.12245420111040677,0.1172730886403176,0.2118472659635792,0.11147308787497087,-0.18901166762888374,0.628779899887736,0.22804085123888865,0.6195002613184067,0.30561083546659157,0.8148299672153587,1.0,0.03292646037900039,0.1969419626102434,0.09194567666688681,-0.27625262879694024,-0.06842825969703098,0.1808445263300406
Commercial & Industrial Loans,-0.11657819340814604,-0.3159680719662435,-0.5341149732095443,-0.16710759725751875,0.15837881107690677,-0.28820427349803773,-0.1359366735073559,-0.146594577735158,-0.24116667206313133,0.3218689322940524,0.0747984264872367,-0.15879010880685274,-0.16294445698566926,-0.15335853264158436,0.4892904136007625,0.12833645155633697,0.04690592823137368,0.06948887134138872,0.05299123663421378,-0.23606241367543807,0.03292646037900039,1.0,0.1984012656750437,0.14320513349222724,0.15054802138631712,0.3457328843401355,-0.32659894691098124
