,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,1.0,0.8961797741722684,0.3168421570211361,0.41911145872752753,0.3273568545541702,0.2156993683468898,0.10876038469064027,0.16172126443282306,0.5262632728118551,-0.3831527827680014,0.3342622892831205,0.45418102883266537,0.16900618701730025,0.04925862654900548,-0.11484877298416787,0.01043478710406902,-0.012658912296959852,-0.009554113969648607,-0.022872395233445152,0.17205104357549733,0.1953484311226166,0.11286246002794109,0.19455728029013009,0.23303119676551182,-0.031810090613128006,0.03919711122183414,0.9625467315908884
Manufacturing Production,0.8961797741722684,1.0,0.2889482051750338,0.37537576198332356,0.27519523149846736,0.2683490387588103,0.1965011658551352,0.16518485022200544,0.48752211855038946,-0.30173259096201754,0.4491249789377673,0.5210705757430569,0.2533620495873801,0.08851293282357017,-0.0717932874133848,0.07140080274356143,0.049881585963922316,0.0659944536073528,0.03712501690495911,0.2027338347005189,0.10925406638097601,0.02758458190510336,0.19763728462331354,0.23766248177481322,-0.026940175700523313,0.02261885162340536,0.8564839685419441
Real Personal Consumption Expenditure,0.3168421570211361,0.2889482051750338,1.0,0.2660902060226323,0.1152804216451372,0.687996478880007,0.17472615186206444,0.18640377064265293,0.2592991156410022,-0.14378546821702218,0.1302733146731171,0.14580515817063577,0.05403791715544067,0.11364004661809672,-0.1126313970623423,-0.035161227702296224,-0.061080476427523935,-0.07519603642332161,-0.040354586514754535,0.028314902898227457,0.06093631647777413,-0.1543120988833709,0.06708625134339681,0.11252187741407994,-0.031158376825439194,-0.02880757874822344,0.33279300866869616
Real Personal Income excluding transfers,0.41911145872752753,0.37537576198332356,0.2660902060226323,1.0,0.8359507285288303,0.11445633120420085,0.0961444792979169,0.08025409211532851,0.4686552554484071,-0.27359395153441923,0.15258684445854595,0.2586728480772243,0.249233362281839,0.10928192434095932,0.004776416300273748,-0.21468380685416316,-0.040220712711923956,-0.2626182207849555,-0.15613211714379374,-0.15942780668701312,-0.15550407145378103,0.09036717753694917,0.22580421326433742,0.16202945526879675,0.0011879857041226028,0.10206360626619304,0.3275571163888607
Real Personal Income,0.3273568545541702,0.27519523149846736,0.1152804216451372,0.8359507285288303,1.0,0.08190612212383398,0.08276035250962786,0.058112129710353594,0.3363932599828402,-0.16634418235951037,0.166677776933165,0.17945862430002085,0.18815533320227706,0.0803444500141384,-0.046730732218987485,-0.22926548933520066,-0.057265420354020394,-0.25334936192950025,-0.14702475174111315,-0.26271558616866936,-0.17665769776675547,0.08099472115573345,0.1868058981387915,0.11861672277007344,0.020558990334026996,0.08085886813072343,0.22780823069416684
Real Retail & Food Services Sales,0.2156993683468898,0.2683490387588103,0.687996478880007,0.11445633120420085,0.08190612212383398,1.0,0.20452149566795838,0.2246839494162347,0.19171129714008822,0.001038345263919788,0.18495742366687404,0.14120952126172484,0.1330038713440295,0.013519206412350344,-0.19730151509914695,0.06440127034094696,-0.08830059829610465,0.07509365601421109,-0.013302949877980162,0.18597858701639222,0.16877056259273543,-0.03546106690591293,0.13436198154111154,0.017601006588150184,-0.0025308693955486666,-0.040585600906956565,0.19768295022411456
Housing Starts,0.10876038469064027,0.1965011658551352,0.17472615186206444,0.0961444792979169,0.08276035250962786,0.20452149566795838,1.0,0.3254349291568841,0.0928425652170932,-0.06986119501986318,0.05830673722938463,0.16244593164528154,0.08659709969536718,0.03725942626730746,-0.23048395695939244,-0.033322015007957784,-0.020418156574049693,-0.015683701346201815,-0.010322257865497642,0.1072186872395627,0.011491043667536043,-0.08159513379530957,0.040845083048340114,-0.022039605398514295,-0.03325619714116369,0.05501906394455342,0.13157630171724685
Building Permits,0.16172126443282306,0.16518485022200544,0.18640377064265293,0.08025409211532851,0.058112129710353594,0.2246839494162347,0.3254349291568841,1.0,0.09745117538403199,-0.053839170208671655,0.03122898727563357,0.16827569481697724,0.09120522118288509,0.047114978656568336,-0.20278324505434325,-0.03501987093561086,-0.05912835266578047,-0.003319613698336561,-0.010626744938220618,0.0626952785471876,-0.011262537084320151,-0.09935214187353973,0.01743680911967243,-0.04420019916487305,-0.02277753749340101,0.15999077440366,0.15758070731321752
Nonfarm Payroll Employment,0.5262632728118551,0.48752211855038946,0.2592991156410022,0.4686552554484071,0.3363932599828402,0.19171129714008822,0.0928425652170932,0.09745117538403199,1.0,-0.4281452417923607,0.19415862091300556,0.2365522476765051,0.3273889360304382,0.1483227093361454,-0.06697723986871722,0.12415983003919594,0.1604846557245943,0.10603780506787354,0.11575460636501729,0.21321744372117413,0.17596946442468267,0.28656294759452783,0.4332532454418891,0.33918795107093064,-0.016252680467754372,0.09285440432828991,0.40028805451524563
Unemployment Rate,-0.3831527827680014,-0.30173259096201754,-0.14378546821702218,-0.27359395153441923,-0.16634418235951037,0.001038345263919788,-0.06986119501986318,-0.053839170208671655,-0.4281452417923607,1.0,-0.12721580067531238,-0.16373846459649158,-0.18902888326362557,0.16198610344941722,0.053461514252510195,-0.011240377281383952,0.037387675184770666,0.04199410664505837,0.05733487969442368,-0.11202028445065432,-0.053012308543019956,-0.1076360556241418,-0.15494046390400562,-0.1671512558763833,-0.009344530497232934,-0.03366818823550429,-0.33270200923091936
