,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,1290,654,234,810,810,412,810,798,1050,940,244,1050,307,940,244,952,832,810,810,200,1290,954,1002,864,810,810,714
Manufacturing Production,654,654,234,654,654,412,654,654,654,652,244,654,307,652,244,652,652,654,654,200,654,654,654,654,654,654,654
Real Personal Consumption Expenditure,234,234,234,234,234,232,234,234,234,232,234,234,234,232,234,232,232,234,234,200,234,234,234,234,234,234,234
Real Personal Income excluding transfers,810,654,234,810,810,412,810,798,810,808,244,810,307,808,244,808,808,810,810,200,810,810,810,810,810,810,714
Real Personal Income,810,654,234,810,810,412,810,798,810,808,244,810,307,808,244,808,808,810,810,200,810,810,810,810,810,810,714
Real Retail & Food Services Sales,412,412,232,412,412,413,413,413,413,413,243,413,305,413,243,413,413,412,412,199,413,413,412,413,412,412,412
Housing Starts,810,654,234,810,810,413,811,799,811,809,245,811,307,809,245,809,809,810,810,201,811,811,810,811,810,810,714
Building Permits,798,654,234,798,798,413,799,799,799,797,245,799,307,797,245,797,797,798,798,201,799,799,798,799,798,798,714
Nonfarm Payroll Employment,1050,654,234,810,810,413,811,799,1051,941,245,1051,307,941,245,953,833,810,810,201,1051,955,1002,865,810,810,714
Unemployment Rate,940,652,232,808,808,413,809,797,941,941,243,941,305,941,243,941,833,808,808,199,941,941,940,863,808,808,712
Average Weekly Hours — Total Private,244,244,234,244,244,243,245,245,245,243,245,245,244,243,245,243,243,244,244,201,245,245,244,245,244,244,244
Average Weekly Hours — Manufacturing,1050,654,234,810,810,413,811,799,1051,941,245,1051,307,941,245,953,833,810,810,201,1051,955,1002,865,810,810,714
Job Openings,307,307,234,307,307,305,307,307,307,305,244,307,307,305,244,305,305,307,307,200,307,307,307,307,307,307,307
Labor Force Participation Rate,940,652,232,808,808,413,809,797,941,941,243,941,305,941,243,941,833,808,808,199,941,941,940,863,808,808,712
Average Hourly Earnings — Total Private,244,244,234,244,244,243,245,245,245,243,245,245,244,243,245,243,243,244,244,201,245,245,244,245,244,244,244
CPI All Items,952,652,232,808,808,413,809,797,953,941,243,953,305,941,243,953,833,808,808,199,953,953,952,863,808,808,712
Core CPI,832,652,232,808,808,413,809,797,833,833,243,833,305,833,243,833,833,808,808,199,833,833,832,833,808,808,712
PCE Price Index,810,654,234,810,810,412,810,798,810,808,244,810,307,808,244,808,808,810,810,200,810,810,810,810,810,810,714
Core PCE Price Index,810,654,234,810,810,412,810,798,810,808,244,810,307,808,244,808,808,810,810,200,810,810,810,810,810,810,714
Producer Prices — Final Demand,200,200,200,200,200,199,201,201,201,199,201,201,200,199,201,199,199,200,200,201,201,201,200,201,200,200,200
Producer Prices — All Commodities,1290,654,234,810,810,413,811,799,1051,941,245,1051,307,941,245,953,833,810,810,201,1363,955,1002,865,810,810,714
Commercial & Industrial Loans,954,654,234,810,810,413,811,799,955,941,245,955,307,941,245,953,833,810,810,201,955,955,954,865,810,810,714
Consumer Credit,1002,654,234,810,810,412,810,798,1002,940,244,1002,307,940,244,952,832,810,810,200,1002,954,1002,864,810,810,714
Federal Funds Rate,864,654,234,810,810,413,811,799,865,863,245,865,307,863,245,863,833,810,810,201,865,865,864,865,810,810,714
Total Bank Reserves,810,654,234,810,810,412,810,798,810,808,244,810,307,808,244,808,808,810,810,200,810,810,810,810,810,810,714
M2 Money Supply,810,654,234,810,810,412,810,798,810,808,244,810,307,808,244,808,808,810,810,200,810,810,810,810,810,810,714
Total Capacity Utilization,714,654,234,714,714,412,714,714,714,712,244,714,307,712,244,712,712,714,714,200,714,714,714,714,714,714,714
