,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,1.0,0.9974263347727186,0.48295746433054626,0.9587542090397893,0.9474612457450442,0.8356271664948687,-0.22646343417693846,0.06401305728368623,0.9921868301883576,0.06086468471670376,0.5461648508911287,0.2235164405959928,0.6139453448644339,0.6888594641563784,0.35748348410278513,0.9559269538591605,0.9576510493507325,0.9600484027900678,0.961165527337375,0.43754571013835947,0.9521349778809547,0.8698931293113307,0.8782411933081975,-0.33645700450884103,0.638674702697205,0.8039930145668436,-0.5081800123606951
Manufacturing Production,0.9974263347727186,1.0,0.05411494729605809,0.9186939637411542,0.9019260175954443,0.7489443145175104,-0.2807018721282598,-0.05422919286903438,0.9608220281005659,-0.4161444696108677,0.48366438407178847,0.6231459837821143,0.3079396435623257,0.15281611537694473,-0.1181750170890971,0.9103077162522022,0.9152011978490604,0.9137824997218923,0.9157899646420995,0.003590128776278855,0.8639821723908577,0.8055637005967227,0.8572616798804739,-0.7248116589012904,0.6012132429984458,0.7458233514794854,-0.4250784320092166
Real Personal Consumption Expenditure,0.48295746433054626,0.05411494729605809,1.0,0.9868877735612194,0.9640867891822538,0.9690005081876678,0.7487733275312503,0.760869188701455,0.9470372925063396,-0.6499165017832168,0.22987296583049366,-0.03194514801905666,0.8259601986206424,-0.7222923012746186,0.9845828937970552,0.9792057161716821,0.9862235316527628,0.9793603354037077,0.9848414448676291,0.9671371541901028,0.8815028855515997,0.9278909043514343,0.9863264781579703,0.5507805160965502,0.7871782418348361,0.9711726132660935,0.14728243484188852
Real Personal Income excluding transfers,0.9587542090397893,0.9186939637411542,0.9868877735612194,1.0,0.9982782991339312,0.9838641352866979,-0.24737198739087918,0.038708463749678894,0.9707600661752963,-0.15984343877355298,0.3110875893130049,0.5296609919339178,0.8549283966867278,0.3856757855607686,0.9708517339944502,0.9918696078742534,0.9914653995955595,0.9870666596410158,0.9864234356364653,0.9319489587814096,0.977107932475999,0.9678750889524568,0.9768491898941617,-0.48335191642816167,0.8033886712403069,0.9369072846132235,-0.5643502543184508
Real Personal Income,0.9474612457450442,0.9019260175954443,0.9640867891822538,0.9982782991339312,1.0,0.9748034897255047,-0.2578689585855829,0.02552483910957535,0.9608317228669132,-0.13916867073494663,0.3317329871121785,0.5191654958739753,0.8326859479960381,0.35613158142304935,0.96669535545486,0.9899386378995457,0.9889467593973884,0.9839368288979177,0.9829159540095632,0.9064930959142032,0.9765653240851946,0.9749890823267529,0.9815525336948766,-0.49152955270329607,0.8236348444455005,0.9478425664820875,-0.5782737635657442
Real Retail & Food Services Sales,0.8356271664948687,0.7489443145175104,0.9690005081876678,0.9838641352866979,0.9748034897255047,1.0,0.018481196973094388,0.14336309933193153,0.9672261196206302,-0.3710305996551349,0.42452599007211816,0.11361511339647902,0.909118772130425,-0.8464122076455705,0.9298507656002396,0.9608390594555715,0.9643042380471165,0.9581381559332008,0.9604964521339364,0.9237835279930618,0.9238683304137614,0.9379110683388158,0.973172622243272,-0.24480158968819704,0.8557645743996709,0.9502089135569282,-0.42346448627242517
Housing Starts,-0.22646343417693846,-0.2807018721282598,0.7487733275312503,-0.24737198739087918,-0.2578689585855829,0.018481196973094388,1.0,0.9311573421345999,-0.2267524292776615,-0.3150221683223827,0.4924768958740224,-0.1056988564884289,0.2534456332667683,-0.04337275684735786,0.5122243688362539,-0.2952925695832904,-0.28530627796315344,-0.29379757831781583,-0.2857502493608142,0.6936861065337262,-0.3226905190548389,-0.26500094609027064,-0.2672909772593901,0.225220701675276,-0.289503839663757,-0.2370701320823357,0.4333562833019216
Building Permits,0.06401305728368623,-0.05422919286903438,0.760869188701455,0.038708463749678894,0.02552483910957535,0.14336309933193153,0.9311573421345999,1.0,0.06669567486602136,-0.3503809481817474,0.5159025487591847,0.03505752680799552,0.3045600000656873,0.12759684043372693,0.5458852269190058,-0.009915015848124402,0.0015644441009022825,-0.006265203682773352,0.0025944584099721643,0.6991841223351988,-0.04413627910114682,-0.0008585147542734162,-0.0018751779225863864,0.09934455692234614,-0.09252288947904365,0.010695021809077969,0.2898564734541905
Nonfarm Payroll Employment,0.9921868301883576,0.9608220281005659,0.9470372925063396,0.9707600661752963,0.9608317228669132,0.9672261196206302,-0.2267524292776615,0.06669567486602136,1.0,0.06419754697604921,0.2006592987633665,0.2016940547979944,0.8395609366700872,0.7040049161815457,0.8970181607717562,0.96998341999491,0.9767097704816459,0.9819695629266413,0.9837329616196819,0.8893235146886013,0.9598892966339916,0.8919619249136833,0.8863780859417659,-0.2824297063283929,0.6674741233084868,0.8382350675592173,-0.5349322204905871
Unemployment Rate,0.06086468471670376,-0.4161444696108677,-0.6499165017832168,-0.15984343877355298,-0.13916867073494663,-0.3710305996551349,-0.3150221683223827,-0.3503809481817474,0.06419754697604921,1.0,-0.29420566241397,-0.33483786046145386,-0.6051776838189216,0.2539869949775258,-0.4760070896750925,0.03929086780854761,-0.10158004469713086,-0.08012851761325797,-0.08755747279845079,-0.6073791675234709,0.07854814986609891,-0.06300813942376998,-0.07812788600264997,0.06611616303694687,-0.14019845096713063,-0.19702588799549636,-0.48348699495561304
