,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,1.0,0.9752536125722239,0.4674663657797145,0.9811626286819913,0.9776380663452269,0.8947862771738799,-0.21702515305259695,0.09604632730564142,0.993628334556277,0.024098995108357082,0.323448883012978,0.4472407445724057,0.7198858886961296,0.6505256432740404,0.38679329385173034,0.9854786054260288,0.9782352613028814,0.9766680064968755,0.9762309914595116,0.5367122246575142,0.9796158111543569,0.9831398204813554,0.9869414702728289,-0.3156927969107401,0.8667729180830257,0.9763014396984075,-0.48672713232753334
Manufacturing Production,0.9752536125722239,1.0,-0.05252852715680476,0.9211777072544888,0.9133634643549912,0.750826688335988,-0.2809134734192933,-0.07742206083698554,0.9385181309413432,-0.49809872195013183,0.3676246326181304,0.6889111215273016,0.37718989853856616,0.07481957173208298,-0.2587880333342118,0.9109285664431255,0.9094918722018654,0.9100443583817681,0.9089752286099668,-0.0747474404782548,0.9115439126729685,0.9022680512216906,0.9123448697509996,-0.7109224619867525,0.6784209216918329,0.9095492403798365,-0.3771494420671804
Real Personal Consumption Expenditure,0.4674663657797145,-0.05252852715680476,1.0,0.9879996615716986,0.9787358774335412,0.9640664723900381,0.769741669281215,0.7919768369365283,0.9329143969914995,-0.7323556703582643,0.20955474088701204,0.004064073663801649,0.9035203282573131,-0.8451229871008439,0.9847406347136077,0.9881146413448538,0.986144333450201,0.9883309184082022,0.9864233310378714,0.9855834835144284,0.7770359036637983,0.9167036148500775,0.9852899226470222,0.3817643116308513,0.8419718188741486,0.9775989983999668,0.0668876930879768
Real Personal Income excluding transfers,0.9811626286819913,0.9211777072544888,0.9879996615716986,1.0,0.9993122019285556,0.974779288705383,-0.23742049361096024,0.08336680793836217,0.9945883839167676,-0.1558201641715507,0.2526202009781854,0.5692213086756341,0.8643361551756591,0.43932318537816945,0.9725745876661166,0.9988490835071772,0.9987886976825916,0.9988497197852522,0.9987939841815835,0.9865703037387773,0.991424879951327,0.9948337784020269,0.9989752684420593,-0.4642711428297209,0.9082171127978597,0.9985518518867634,-0.5900584675762823
Real Personal Income,0.9776380663452269,0.9133634643549912,0.9787358774335412,0.9993122019285556,1.0,0.9648447807114092,-0.24598759884845117,0.07369853785677936,0.9918697499737271,-0.1396229052176728,0.2375650222993318,0.5648406103302184,0.8237725150484345,0.4369334998493782,0.9851361193015123,0.999468632345111,0.9994568620653806,0.9994889811953401,0.9994614227215001,0.9753662048452356,0.9916669123407642,0.9951061969260022,0.9992891934045894,-0.4729148819487362,0.911405560877077,0.9991907308397748,-0.6051504247079771
Real Retail & Food Services Sales,0.8947862771738799,0.750826688335988,0.9640664723900381,0.974779288705383,0.9648447807114092,1.0,-0.07708879048523269,0.08890458905399334,0.968102625586841,-0.45998604790128256,0.34345846904291705,0.19054751269183962,0.9211653440929555,-0.8802639452033854,0.9161861774147707,0.962843097770765,0.9612871458307573,0.9624750465077677,0.9612360281177978,0.9551362818350286,0.9147436604368749,0.9309705651558288,0.9638407432954992,-0.3412387449225418,0.7103308653035743,0.9619757806615454,-0.47838030172197255
Housing Starts,-0.21702515305259695,-0.2809134734192933,0.769741669281215,-0.23742049361096024,-0.24598759884845117,-0.07708879048523269,1.0,0.9095212179368679,-0.21592695384386146,-0.17093602261016203,0.30486805124199773,-0.17930589125137925,0.243802949515646,0.026744300167627796,0.5309493326676287,-0.2504944707365904,-0.2506303924778106,-0.25050961648593667,-0.25066434080123634,0.8590774035572293,-0.2720587294366241,-0.2604598418020139,-0.25035955318332687,0.2882830133760087,-0.34176616324744535,-0.24898388566668883,0.3554967813889185
Building Permits,0.09604632730564142,-0.07742206083698554,0.7919768369365283,0.08336680793836217,0.07369853785677936,0.08890458905399334,0.9095212179368679,1.0,0.1075706519657457,-0.2659928609198566,0.32434979898382593,-0.015006107457650453,0.2748567776201172,0.17876056782902525,0.5663400635652457,0.06885712886781288,0.06858792443362643,0.0689955966614158,0.06878580389348958,0.8722588671787129,0.041661317679445,0.06227403098808972,0.06944075279016146,0.19207690239437303,-0.050840647110004765,0.07011825858293354,0.19913612179456275
Nonfarm Payroll Employment,0.993628334556277,0.9385181309413432,0.9329143969914995,0.9945883839167676,0.9918697499737271,0.968102625586841,-0.21592695384386146,0.1075706519657457,1.0,0.018354580533308434,0.14920893514477612,0.40970960596008354,0.9208686367477007,0.6383716663833702,0.8740746577449109,0.9945925717904127,0.9919600105651349,0.9914938124406202,0.9912852455607589,0.9375828096889436,0.9914913829140332,0.9938680427101014,0.9958449643641147,-0.30690127586836674,0.888015231983122,0.9909530643949562,-0.5515632729162308
Unemployment Rate,0.024098995108357082,-0.49809872195013183,-0.7323556703582643,-0.1558201641715507,-0.1396229052176728,-0.45998604790128256,-0.17093602261016203,-0.2659928609198566,0.018354580533308434,1.0,-0.15067309519174332,-0.3062674358987946,-0.7896362400052397,0.2660469472549569,-0.6093580989895208,0.07099934373904196,-0.12436568846127963,-0.13687121307442346,-0.13618918188864015,-0.7394499433300732,0.08724449897156061,0.05676030738065063,0.07056416301403805,-0.0035654036705464022,-0.018960335461025147,-0.1359911977557846,-0.3261274782769398
