,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,1291,655,235,811,811,414,811,799,1051,942,245,1051,308,942,245,954,834,811,811,201,1291,955,1003,865,811,811,715
Manufacturing Production,655,655,235,655,655,414,655,655,655,654,245,655,308,654,245,654,654,655,655,201,655,655,655,655,655,655,655
Real Personal Consumption Expenditure,235,235,235,235,235,234,235,235,235,234,235,235,235,234,235,234,234,235,235,201,235,235,235,235,235,235,235
Real Personal Income excluding transfers,811,655,235,811,811,414,811,799,811,810,245,811,308,810,245,810,810,811,811,201,811,811,811,811,811,811,715
Real Personal Income,811,655,235,811,811,414,811,799,811,810,245,811,308,810,245,810,810,811,811,201,811,811,811,811,811,811,715
Real Retail & Food Services Sales,414,414,234,414,414,415,415,415,415,415,245,415,307,415,245,415,415,414,414,201,415,415,414,415,414,414,414
Housing Starts,811,655,235,811,811,415,812,800,812,811,246,812,308,811,246,811,811,811,811,202,812,812,811,812,811,811,715
Building Permits,799,655,235,799,799,415,800,800,800,799,246,800,308,799,246,799,799,799,799,202,800,800,799,800,799,799,715
Nonfarm Payroll Employment,1051,655,235,811,811,415,812,800,1052,943,246,1052,308,943,246,955,835,811,811,202,1052,956,1003,866,811,811,715
Unemployment Rate,942,654,234,810,810,415,811,799,943,943,245,943,307,943,245,943,835,810,810,201,943,943,942,865,810,810,714
Average Weekly Hours — Total Private,245,245,235,245,245,245,246,246,246,245,246,246,245,245,246,245,245,245,245,202,246,246,245,246,245,245,245
Average Weekly Hours — Manufacturing,1051,655,235,811,811,415,812,800,1052,943,246,1052,308,943,246,955,835,811,811,202,1052,956,1003,866,811,811,715
Job Openings,308,308,235,308,308,307,308,308,308,307,245,308,308,307,245,307,307,308,308,201,308,308,308,308,308,308,308
Labor Force Participation Rate,942,654,234,810,810,415,811,799,943,943,245,943,307,943,245,943,835,810,810,201,943,943,942,865,810,810,714
Average Hourly Earnings — Total Private,245,245,235,245,245,245,246,246,246,245,246,246,245,245,246,245,245,245,245,202,246,246,245,246,245,245,245
CPI All Items,954,654,234,810,810,415,811,799,955,943,245,955,307,943,245,955,835,810,810,201,955,955,954,865,810,810,714
Core CPI,834,654,234,810,810,415,811,799,835,835,245,835,307,835,245,835,835,810,810,201,835,835,834,835,810,810,714
PCE Price Index,811,655,235,811,811,414,811,799,811,810,245,811,308,810,245,810,810,811,811,201,811,811,811,811,811,811,715
Core PCE Price Index,811,655,235,811,811,414,811,799,811,810,245,811,308,810,245,810,810,811,811,201,811,811,811,811,811,811,715
Producer Prices — Final Demand,201,201,201,201,201,201,202,202,202,201,202,202,201,201,202,201,201,201,201,202,202,202,201,202,201,201,201
Producer Prices — All Commodities,1291,655,235,811,811,415,812,800,1052,943,246,1052,308,943,246,955,835,811,811,202,1364,956,1003,866,811,811,715
Commercial & Industrial Loans,955,655,235,811,811,415,812,800,956,943,246,956,308,943,246,955,835,811,811,202,956,956,955,866,811,811,715
Consumer Credit,1003,655,235,811,811,414,811,799,1003,942,245,1003,308,942,245,954,834,811,811,201,1003,955,1003,865,811,811,715
Federal Funds Rate,865,655,235,811,811,415,812,800,866,865,246,866,308,865,246,865,835,811,811,202,866,866,865,866,811,811,715
Total Bank Reserves,811,655,235,811,811,414,811,799,811,810,245,811,308,810,245,810,810,811,811,201,811,811,811,811,811,811,715
M2 Money Supply,811,655,235,811,811,414,811,799,811,810,245,811,308,810,245,810,810,811,811,201,811,811,811,811,811,811,715
Total Capacity Utilization,715,655,235,715,715,414,715,715,715,714,245,715,308,714,245,714,714,715,715,201,715,715,715,715,715,715,715
