left_edge,right_edge,observations
11.2894,227.31487142857142,379
227.31487142857142,443.34034285714284,69
443.34034285714284,659.3658142857142,129
659.3658142857142,875.3912857142857,44
875.3912857142857,1091.416757142857,88
1091.416757142857,1307.4422285714286,44
1307.4422285714286,1523.4677000000001,39
1523.4677000000001,1739.4931714285713,22
1739.4931714285713,1955.5186428571428,14
1955.5186428571428,2171.5441142857144,28
2171.5441142857144,2387.569585714286,22
2387.569585714286,2603.595057142857,18
2603.595057142857,2819.6205285714286,50
2819.6205285714286,3035.646,10
