left_edge,right_edge,observations
478.0,565.6521739130435,14
565.6521739130435,653.304347826087,21
653.304347826087,740.9565217391305,8
740.9565217391305,828.608695652174,6
828.608695652174,916.2608695652175,21
916.2608695652175,1003.9130434782609,27
1003.9130434782609,1091.5652173913045,43
1091.5652173913045,1179.217391304348,40
1179.217391304348,1266.8695652173915,62
1266.8695652173915,1354.521739130435,73
1354.521739130435,1442.1739130434785,88
1442.1739130434785,1529.8260869565217,96
1529.8260869565217,1617.4782608695652,89
1617.4782608695652,1705.1304347826087,63
1705.1304347826087,1792.7826086956522,44
1792.7826086956522,1880.4347826086957,29
1880.4347826086957,1968.0869565217392,17
1968.0869565217392,2055.739130434783,25
2055.739130434783,2143.391304347826,20
2143.391304347826,2231.04347826087,8
2231.04347826087,2318.695652173913,8
2318.695652173913,2406.347826086957,5
2406.347826086957,2494.0,5
