left_edge,right_edge,observations
162000.0,236687.5,516
236687.5,311375.0,625
311375.0,386062.5,1087
386062.5,460750.0,556
460750.0,535437.5,151
535437.5,610125.0,92
610125.0,684812.5,35
684812.5,759500.0,8
759500.0,834187.5,13
834187.5,908875.0,11
908875.0,983562.5,1
983562.5,1058250.0,1
1058250.0,1132937.5,0
1132937.5,1207625.0,0
1207625.0,1282312.5,1
1282312.5,1357000.0,0
1357000.0,1431687.5,2
1431687.5,1506375.0,4
1506375.0,1581062.5,1
1581062.5,1655750.0,1
1655750.0,1730437.5,0
1730437.5,1805125.0,0
1805125.0,1879812.5,0
1879812.5,1954500.0,1
1954500.0,2029187.5,0
2029187.5,2103875.0,0
2103875.0,2178562.5,1
2178562.5,2253250.0,0
2253250.0,2327937.5,0
2327937.5,2402625.0,1
2402625.0,2477312.5,0
2477312.5,2552000.0,0
2552000.0,2626687.5,0
2626687.5,2701375.0,0
2701375.0,2776062.5,0
2776062.5,2850750.0,1
2850750.0,2925437.5,1
2925437.5,3000125.0,0
3000125.0,3074812.5,0
3074812.5,3149500.0,0
3149500.0,3224187.5,0
3224187.5,3298875.0,0
3298875.0,3373562.5,0
3373562.5,3448250.0,1
3448250.0,3522937.5,0
3522937.5,3597625.0,0
3597625.0,3672312.5,0
3672312.5,3747000.0,0
3747000.0,3821687.5,0
3821687.5,3896375.0,0
3896375.0,3971062.5,0
3971062.5,4045750.0,0
4045750.0,4120437.5,0
4120437.5,4195125.0,0
4195125.0,4269812.5,1
4269812.5,4344500.0,0
4344500.0,4419187.5,0
4419187.5,4493875.0,0
4493875.0,4568562.5,0
4568562.5,4643250.0,0
4643250.0,4717937.5,0
4717937.5,4792625.0,0
4792625.0,4867312.5,0
4867312.5,4942000.0,1
4942000.0,5016687.5,0
5016687.5,5091375.0,0
5091375.0,5166062.5,0
5166062.5,5240750.0,0
5240750.0,5315437.5,0
5315437.5,5390125.0,0
5390125.0,5464812.5,0
5464812.5,5539500.0,0
5539500.0,5614187.5,0
5614187.5,5688875.0,0
5688875.0,5763562.5,0
5763562.5,5838250.0,0
5838250.0,5912937.5,0
5912937.5,5987625.0,1
5987625.0,6062312.5,0
6062312.5,6137000.0,1
