left_edge,right_edge,observations
513.0,618.8888888888889,24
618.8888888888889,724.7777777777778,16
724.7777777777778,830.6666666666666,22
830.6666666666666,936.5555555555555,29
936.5555555555555,1042.4444444444443,54
1042.4444444444443,1148.3333333333333,64
1148.3333333333333,1254.2222222222222,86
1254.2222222222222,1360.111111111111,97
1360.111111111111,1466.0,103
1466.0,1571.888888888889,72
1571.888888888889,1677.7777777777778,65
1677.7777777777778,1783.6666666666665,71
1783.6666666666665,1889.5555555555554,29
1889.5555555555554,1995.4444444444443,19
1995.4444444444443,2101.333333333333,20
2101.333333333333,2207.222222222222,17
2207.222222222222,2313.1111111111113,9
2313.1111111111113,2419.0,3
