left_edge,right_edge,observations
18.0,199.5304347826087,597
199.5304347826087,381.0608695652174,1
381.0608695652174,562.591304347826,0
562.591304347826,744.1217391304348,2
744.1217391304348,925.6521739130435,9
925.6521739130435,1107.182608695652,8
1107.182608695652,1288.713043478261,9
1288.713043478261,1470.2434782608696,1
1470.2434782608696,1651.7739130434782,26
1651.7739130434782,1833.304347826087,13
1833.304347826087,2014.8347826086956,7
2014.8347826086956,2196.365217391304,9
2196.365217391304,2377.895652173913,16
2377.895652173913,2559.426086956522,16
2559.426086956522,2740.9565217391305,16
2740.9565217391305,2922.486956521739,10
2922.486956521739,3104.0173913043477,16
3104.0173913043477,3285.5478260869563,24
3285.5478260869563,3467.0782608695654,13
3467.0782608695654,3648.608695652174,5
3648.608695652174,3830.1391304347826,2
3830.1391304347826,4011.669565217391,6
4011.669565217391,4193.2,5
