Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end
Industrial Production,Manufacturing Production,-12,-0.014429668204031205,-0.0049380926124386725,642,1972-02-01,2025-07-01
Industrial Production,Manufacturing Production,-11,-0.0044306677484782,0.05083935025139115,643,1972-02-01,2025-08-01
Industrial Production,Manufacturing Production,-10,0.12909663846659428,0.11290419902194526,644,1972-02-01,2025-09-01
Industrial Production,Manufacturing Production,-9,0.03243455265726148,0.08532844035384363,645,1972-02-01,2025-10-01
Industrial Production,Manufacturing Production,-8,-0.026787294130794566,0.10076859106920037,646,1972-02-01,2025-11-01
Industrial Production,Manufacturing Production,-7,0.05647063738162159,0.09155054322677218,647,1972-02-01,2025-12-01
Industrial Production,Manufacturing Production,-6,0.09458714639884178,0.19100548883379675,648,1972-02-01,2026-01-01
Industrial Production,Manufacturing Production,-5,0.0653707116041686,0.13188086866052967,649,1972-02-01,2026-02-01
Industrial Production,Manufacturing Production,-4,0.0695441521013835,0.1654875468981538,650,1972-02-01,2026-03-01
Industrial Production,Manufacturing Production,-3,0.04159018963835609,0.25489677549839834,651,1972-02-01,2026-04-01
Industrial Production,Manufacturing Production,-2,0.05037081598399222,0.28359126360556225,652,1972-02-01,2026-05-01
Industrial Production,Manufacturing Production,-1,0.29625784365822727,0.23182641287153233,653,1972-02-01,2026-06-01
Industrial Production,Manufacturing Production,0,0.956088331514145,0.8961797741722684,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,1,0.22959024773873118,0.2541694841598522,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,2,0.008068786485324823,0.25955114370829335,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,3,0.060508603166579335,0.23525931000740333,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,4,0.07492719505609899,0.16082429492244205,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,5,0.04022501794107077,0.10683172699131839,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,6,0.06817705368550023,0.15035723758007,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,7,0.01442814891373731,0.08621686802291718,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,8,-0.031128231420559857,0.06914462354733983,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,9,0.04890900612272034,0.09288919237677236,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,10,0.11335523197459751,0.10830642928976006,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,11,-0.0031504535758922784,0.03880512048932524,654,1972-02-01,2026-07-01
Industrial Production,Manufacturing Production,12,-0.013553028511660943,0.024295072589170512,654,1972-02-01,2026-07-01
Industrial Production,Real Personal Consumption Expenditure,-12,-0.02788579138097816,-0.03552400888196194,222,2007-02-01,2025-07-01
Industrial Production,Real Personal Consumption Expenditure,-11,-0.002014448603448758,-0.006824930311477397,223,2007-02-01,2025-08-01
Industrial Production,Real Personal Consumption Expenditure,-10,0.17610928278855573,0.038412342515481535,224,2007-02-01,2025-09-01
Industrial Production,Real Personal Consumption Expenditure,-9,-0.08429559252293768,-0.002492625368731564,225,2007-02-01,2025-10-01
