Dataset 1,Dataset 2,Lag months,Pearson,Spearman,Overlapping observations,Aligned start,Aligned end,Zero lag pearson,Absolute gain over zero,Category 1,Category 2,First variable timing
Industrial Production,Total Capacity Utilization,0,0.9836908972962007,0.9625467315908883,714,1967-02-01,2026-07-01,0.9836908972962007,0.0,Growth / Activity,External / Structural,same month
Industrial Production,Manufacturing Production,0,0.956088331514145,0.8961797741722684,654,1972-02-01,2026-07-01,0.956088331514145,0.0,Growth / Activity,Growth / Activity,same month
Manufacturing Production,Total Capacity Utilization,0,0.9384523854007852,0.8564839685419441,654,1972-02-01,2026-07-01,0.9384523854007852,0.0,Growth / Activity,External / Structural,same month
Real Personal Consumption Expenditure,Real Retail & Food Services Sales,0,0.9212848215917802,0.6879964788800068,232,2007-02-01,2026-07-01,0.9212848215917802,0.0,Growth / Activity,Growth / Activity,same month
CPI All Items,PCE Price Index,0,0.9112860212995314,0.8826222816387134,808,1959-02-01,2026-07-01,0.9112860212995314,0.0,Inflation,Inflation,same month
Nonfarm Payroll Employment,Unemployment Rate,0,-0.8785816838019587,-0.4281452417923607,941,1948-02-01,2026-08-01,-0.8785816838019587,0.0,Labor,Labor,same month
Nonfarm Payroll Employment,Average Hourly Earnings — Total Private,0,-0.8469216949745175,-0.0669772398687172,245,2006-04-01,2026-08-01,-0.8469216949745175,0.0,Labor,Labor,same month
PCE Price Index,Core PCE Price Index,0,0.8306264240669017,0.8116207465217283,810,1959-02-01,2026-07-01,0.8306264240669017,0.0,Inflation,Inflation,same month
Unemployment Rate,Average Hourly Earnings — Total Private,0,0.8290332372229257,0.053461514252510195,243,2006-04-01,2026-08-01,0.8290332372229257,0.0,Labor,Labor,same month
Producer Prices — Final Demand,Producer Prices — All Commodities,0,0.8148299672153585,0.7793088724877302,201,2009-12-01,2026-08-01,0.8148299672153585,0.0,Inflation,Inflation,same month
Manufacturing Production,Real Personal Consumption Expenditure,0,0.8079733659461175,0.28894820517503383,234,2007-02-01,2026-07-01,0.8079733659461175,0.0,Growth / Activity,Growth / Activity,same month
Real Personal Consumption Expenditure,Nonfarm Payroll Employment,0,0.7846501749549301,0.2592991156410023,234,2007-02-01,2026-07-01,0.7846501749549301,0.0,Growth / Activity,Labor,same month
Core CPI,Core PCE Price Index,0,0.776668829852846,0.7448162366222656,808,1959-02-01,2026-07-01,0.776668829852846,0.0,Inflation,Inflation,same month
Real Personal Consumption Expenditure,Average Hourly Earnings — Total Private,0,-0.7636481982861243,-0.1126313970623423,234,2007-02-01,2026-07-01,-0.7636481982861243,0.0,Growth / Activity,Labor,same month
Real Personal Consumption Expenditure,Unemployment Rate,0,-0.7635677574136708,-0.14378546821702215,232,2007-02-01,2026-07-01,-0.7635677574136708,0.0,Growth / Activity,Labor,same month
Industrial Production,Real Personal Consumption Expenditure,0,0.7594489652384273,0.3168421570211362,234,2007-02-01,2026-07-01,0.7594489652384273,0.0,Growth / Activity,Growth / Activity,same month
Real Personal Consumption Expenditure,Total Capacity Utilization,0,0.7488481930129485,0.3327930086686961,234,2007-02-01,2026-07-01,0.7488481930129485,0.0,Growth / Activity,External / Structural,same month
