Dataset 1,Dataset 2,Pearson,Spearman,Overlapping observations,Overlap start,Overlap end,Category 1,Category 2,Candidate
Industrial Production,Manufacturing Production,0.9560883315141447,0.8961797741722684,654,1972-02-01,2026-07-01,Growth / Activity,Growth / Activity,True
Industrial Production,Real Personal Consumption Expenditure,0.7594489652384268,0.3168421570211361,234,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Industrial Production,Real Personal Income excluding transfers,0.47148682929356067,0.41911145872752753,810,1959-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Industrial Production,Real Personal Income,0.004511207309738523,0.3273568545541702,810,1959-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Industrial Production,Real Retail & Food Services Sales,0.5429437765450901,0.2156993683468898,412,1992-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Industrial Production,Housing Starts,0.21604653324910764,0.10876038469064027,810,1959-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Industrial Production,Building Permits,0.2072300376257489,0.16172126443282306,798,1960-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Industrial Production,Nonfarm Payroll Employment,0.6407340889574615,0.5262632728118551,1050,1939-02-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,Unemployment Rate,-0.594320900636186,-0.3831527827680014,940,1948-02-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,Average Weekly Hours — Total Private,0.2223618824665098,0.3342622892831205,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,Average Weekly Hours — Manufacturing,0.5063004688221476,0.45418102883266537,1050,1939-02-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,Job Openings,0.33852160420920224,0.16900618701730025,307,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,Labor Force Participation Rate,0.2207929899609996,0.04925862654900548,940,1948-02-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,Average Hourly Earnings — Total Private,-0.6998096797399737,-0.11484877298416787,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Industrial Production,CPI All Items,0.06468232992649701,0.01043478710406902,952,1947-02-01,2026-07-01,Growth / Activity,Inflation,False
Industrial Production,Core CPI,0.035175668487585035,-0.012658912296959852,832,1957-02-01,2026-07-01,Growth / Activity,Inflation,False
Industrial Production,PCE Price Index,0.041324753720270044,-0.009554113969648607,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Industrial Production,Core PCE Price Index,0.019943885874555284,-0.022872395233445152,810,1959-02-01,2026-07-01,Growth / Activity,Inflation,False
Industrial Production,Producer Prices — Final Demand,0.2803787265050583,0.17205104357549733,200,2009-12-01,2026-07-01,Growth / Activity,Inflation,False
Industrial Production,Producer Prices — All Commodities,0.3333581475937503,0.1953484311226166,1290,1919-02-01,2026-07-01,Growth / Activity,Inflation,False
Industrial Production,Commercial & Industrial Loans,-0.11657819340814604,0.11286246002794109,954,1947-02-01,2026-07-01,Growth / Activity,Credit,False
Industrial Production,Consumer Credit,0.19551335543441398,0.19455728029013009,1002,1943-02-01,2026-07-01,Growth / Activity,Credit,False
Industrial Production,Federal Funds Rate,0.22551594745428702,0.23303119676551182,864,1954-08-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Industrial Production,Total Bank Reserves,-0.17418187322380493,-0.031810090613128006,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Industrial Production,M2 Money Supply,-0.2121445079399475,0.03919711122183414,810,1959-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Industrial Production,Total Capacity Utilization,0.9836908972962016,0.9625467315908884,714,1967-02-01,2026-07-01,Growth / Activity,External / Structural,True
Manufacturing Production,Real Personal Consumption Expenditure,0.8079733659461156,0.2889482051750338,234,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Manufacturing Production,Real Personal Income excluding transfers,0.48043609576883517,0.37537576198332356,654,1972-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Manufacturing Production,Real Personal Income,-0.045568772272471296,0.27519523149846736,654,1972-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Manufacturing Production,Real Retail & Food Services Sales,0.6166622968997635,0.2683490387588103,412,1992-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Manufacturing Production,Housing Starts,0.2875575899708016,0.1965011658551352,654,1972-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Manufacturing Production,Building Permits,0.22438877560779988,0.16518485022200544,654,1972-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Manufacturing Production,Nonfarm Payroll Employment,0.7399529486365124,0.48752211855038946,654,1972-02-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,Unemployment Rate,-0.6895593286158255,-0.30173259096201754,652,1972-02-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,Average Weekly Hours — Total Private,0.30116170188179764,0.4491249789377673,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,Average Weekly Hours — Manufacturing,0.6239840922470111,0.5210705757430569,654,1972-02-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,Job Openings,0.38913264876513437,0.2533620495873801,307,2001-01-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,Labor Force Participation Rate,0.43914457219305786,0.08851293282357017,652,1972-02-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,Average Hourly Earnings — Total Private,-0.7274894801038084,-0.0717932874133848,244,2006-04-01,2026-07-01,Growth / Activity,Labor,False
Manufacturing Production,CPI All Items,0.12070416071568989,0.07140080274356143,652,1972-02-01,2026-07-01,Growth / Activity,Inflation,False
Manufacturing Production,Core CPI,0.056544211751451565,0.049881585963922316,652,1972-02-01,2026-07-01,Growth / Activity,Inflation,False
Manufacturing Production,PCE Price Index,0.10026733143247724,0.0659944536073528,654,1972-02-01,2026-07-01,Growth / Activity,Inflation,False
Manufacturing Production,Core PCE Price Index,0.05919213730774405,0.03712501690495911,654,1972-02-01,2026-07-01,Growth / Activity,Inflation,False
Manufacturing Production,Producer Prices — Final Demand,0.2808902025900349,0.2027338347005189,200,2009-12-01,2026-07-01,Growth / Activity,Inflation,False
Manufacturing Production,Producer Prices — All Commodities,0.20599283723621192,0.10925406638097601,654,1972-02-01,2026-07-01,Growth / Activity,Inflation,False
Manufacturing Production,Commercial & Industrial Loans,-0.3159680719662435,0.02758458190510336,654,1972-02-01,2026-07-01,Growth / Activity,Credit,False
Manufacturing Production,Consumer Credit,0.23226431240436918,0.19763728462331354,654,1972-02-01,2026-07-01,Growth / Activity,Credit,False
Manufacturing Production,Federal Funds Rate,0.25734987976808943,0.23766248177481322,654,1972-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Manufacturing Production,Total Bank Reserves,-0.22716752865983048,-0.026940175700523313,654,1972-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Manufacturing Production,M2 Money Supply,-0.22515137517685765,0.02261885162340536,654,1972-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Manufacturing Production,Total Capacity Utilization,0.9384523854007857,0.8564839685419441,654,1972-02-01,2026-07-01,Growth / Activity,External / Structural,True
Real Personal Consumption Expenditure,Real Personal Income excluding transfers,0.5972610777283346,0.2660902060226323,234,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Consumption Expenditure,Real Personal Income,-0.11411987360906284,0.1152804216451372,234,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Consumption Expenditure,Real Retail & Food Services Sales,0.9212848215917803,0.687996478880007,232,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,True
Real Personal Consumption Expenditure,Housing Starts,0.33852821075853723,0.17472615186206444,234,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Consumption Expenditure,Building Permits,0.3528709095855168,0.18640377064265293,234,2007-02-01,2026-07-01,Growth / Activity,Growth / Activity,False
Real Personal Consumption Expenditure,Nonfarm Payroll Employment,0.7846501749549302,0.2592991156410022,234,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,Unemployment Rate,-0.7635677574136712,-0.14378546821702218,232,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,Average Weekly Hours — Total Private,0.2473785822795372,0.1302733146731171,234,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,Average Weekly Hours — Manufacturing,0.6795562547587989,0.14580515817063577,234,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,Job Openings,0.41666588848894437,0.05403791715544067,234,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,Labor Force Participation Rate,0.6963002917112873,0.11364004661809672,232,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,Average Hourly Earnings — Total Private,-0.7636481982861237,-0.1126313970623423,234,2007-02-01,2026-07-01,Growth / Activity,Labor,False
Real Personal Consumption Expenditure,CPI All Items,0.2089637008577027,-0.035161227702296224,232,2007-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Consumption Expenditure,Core CPI,0.19448030766987304,-0.061080476427523935,232,2007-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Consumption Expenditure,PCE Price Index,0.19913370307534645,-0.07519603642332161,234,2007-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Consumption Expenditure,Core PCE Price Index,0.22748290244652467,-0.040354586514754535,234,2007-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Consumption Expenditure,Producer Prices — Final Demand,0.24657975493489423,0.028314902898227457,200,2009-12-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Consumption Expenditure,Producer Prices — All Commodities,0.27415987082738774,0.06093631647777413,234,2007-02-01,2026-07-01,Growth / Activity,Inflation,False
Real Personal Consumption Expenditure,Commercial & Industrial Loans,-0.5341149732095443,-0.1543120988833709,234,2007-02-01,2026-07-01,Growth / Activity,Credit,False
Real Personal Consumption Expenditure,Consumer Credit,0.14884741843321264,0.06708625134339681,234,2007-02-01,2026-07-01,Growth / Activity,Credit,False
Real Personal Consumption Expenditure,Federal Funds Rate,0.3100954553086046,0.11252187741407994,234,2007-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
Real Personal Consumption Expenditure,Total Bank Reserves,-0.16186066784126868,-0.031158376825439194,234,2007-02-01,2026-07-01,Growth / Activity,Policy / Liquidity,False
