,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,,0.8628140061861606,0.3897703711097678,0.01904272928446589,0.08101767900789403,0.2617501280427805,0.347452252628282,0.24544501279907244,0.1613592859635217,-0.008665157143578472,0.3952004119894602,0.3802400552051925,0.07171541895431548,0.04016891427000155,-0.299822325941732,0.15785784729952665,0.0691409442477783,0.12169534441841731,0.023994950153256284,0.2632016673811941,0.23409185345554995,0.07191015031202665,-0.17531294598611621,-0.06523064883112582,0.09059158139161588,0.145983398948038,0.9954246428892749
Manufacturing Production,0.8628140061861606,,0.5110316689269657,0.13314184742052323,0.13457302578420247,0.47008763222187283,0.326901942885821,0.2329290309039529,0.20022602573751427,0.06654907909631684,0.5655504373908912,0.5602523063028902,0.08951268861100575,-0.036781725012399104,-0.2703461518749385,0.14618258658539385,0.03456090110359438,0.12296622395649263,0.010303120709365524,0.22415194685386716,0.21196098054940746,0.07914517196464284,-0.08128504602961052,-0.06847364428978744,0.1136666900037454,0.21582897637925308,0.8579325008863942
Real Personal Consumption Expenditure,0.3897703711097678,0.5110316689269657,,0.31805933976505785,0.16300186723947488,0.8098525379246507,0.21568065452519236,-0.029087875774962812,0.08556419301099683,0.052712701978487354,0.2417634727193218,0.31155594230721206,-0.30871150482990284,0.05783421018955895,-0.09082171675117043,-0.036244795138244766,-0.18363507998899062,-0.0967066589531666,-0.20793696497544914,-0.01116474917799746,0.03151517375697499,0.10338501616194876,-0.10381525515726898,-0.07428875245033006,0.011243005256048915,0.07706438068116167,0.38636818547196466
Real Personal Income excluding transfers,0.01904272928446589,0.13314184742052323,0.31805933976505785,,0.7676023448942378,0.06751705032882607,-0.01701947043981112,-0.09234716473789341,0.11847213486773871,0.0030304092937966706,0.15757793502606474,0.09479611334299849,-0.09469217031027106,0.05225873148761872,0.0017671083122586073,-0.44899916901146125,-0.14072805581388306,-0.5462730188347679,-0.358146351853531,-0.5305867847932458,-0.5221559467659342,-0.2985223878669946,0.007354000671934189,0.15365465432234973,0.30092221293690785,-0.28332838255655846,0.0019174922688083513
Real Personal Income,0.08101767900789403,0.13457302578420247,0.16300186723947488,0.7676023448942378,,-0.04416281286220243,0.01095428256850828,-0.018219332818100318,-0.07559568971912992,0.2294141074157648,0.11149668802755763,0.040358224546944745,-0.10193654354938196,0.03920258729341636,-0.21630965737400704,-0.5333736845512418,-0.17551605790735383,-0.5596456119821857,-0.3006627479541762,-0.4919424526734706,-0.542191463990409,-0.30543064678821397,-0.04434425382346187,0.09319525521173122,0.27533557527267666,-0.259825111867495,0.042157962925298664
Real Retail & Food Services Sales,0.2617501280427805,0.47008763222187283,0.8098525379246507,0.06751705032882607,-0.04416281286220243,,0.23590366730103873,0.0012569266669681485,0.050331472181227334,0.11091953381019928,0.2154791036952452,0.39844247428850643,-0.19672419638964858,0.05372779622121784,-0.09098859337407054,0.09666246594102647,-0.14005971287500302,0.11561785622591353,-0.03236427636556332,0.253561833156523,0.2945579793237729,0.1266005699937,-0.004588480568829868,-0.15793969805105576,-0.1346400901600928,0.2183243987011415,0.26630916049690073
Housing Starts,0.347452252628282,0.326901942885821,0.21568065452519236,-0.01701947043981112,0.01095428256850828,0.23590366730103873,,0.04861518328564076,0.049012183157700236,0.028631490831572976,0.11979243523546253,0.09798322348351945,-0.2946771034935929,-0.12673990275218172,-0.3033798851964402,-0.12229529693051093,-0.03426154426035008,-0.06451632502995151,0.0007766763766334127,-0.032674397858928395,-0.09853986267086462,0.011779599976504601,-0.1930697489410142,-0.06569966938715846,0.028139550426742682,0.060116714328925035,0.34502065337608184
Building Permits,0.24544501279907244,0.2329290309039529,-0.029087875774962812,-0.09234716473789341,-0.018219332818100318,0.0012569266669681485,0.04861518328564076,,-0.014752251238798659,0.1754671776460485,0.05093958463547312,0.0525367144990369,0.06582955192563882,0.08159257582976188,-0.057583694286125926,0.050467038664566144,0.09302158902435285,0.03508653240419424,0.027975515222737685,0.1104003211907018,0.011786848221224477,0.006745305461234742,-0.023418192053173515,-0.18397935915095115,-0.07842364213666433,0.31726300288868897,0.24719899380232868
Nonfarm Payroll Employment,0.1613592859635217,0.20022602573751427,0.08556419301099683,0.11847213486773871,-0.07559568971912992,0.050331472181227334,0.049012183157700236,-0.014752251238798659,,-0.3971006324463653,0.18278024100038992,0.11331467719564252,0.14753573076879115,0.22317240633331592,0.1979039005524305,0.5513338248638304,0.634995155761861,0.5112660533884494,0.4724179192098579,0.27093065560285406,0.15696660175340588,0.26434041590347107,0.2734946945730266,0.38347005252493954,-0.04424154798297017,0.02047229539668248,0.22415790875788263
Unemployment Rate,-0.008665157143578472,0.06654907909631684,0.052712701978487354,0.0030304092937966706,0.2294141074157648,0.11091953381019928,0.028631490831572976,0.1754671776460485,-0.3971006324463653,,-0.035278971726582106,0.09677492298025396,-0.21139021646547979,-0.07055243223112456,-0.2701025455536465,-0.28909620975630157,-0.22681055807624287,-0.2734611269119672,-0.20901606485877602,-0.120048526839834,-0.08659364115486133,0.002573452591763034,-0.1428159350306965,0.09921877590867137,-0.1448834921237515,-0.08864701727958092,-0.05770695244361161
Average Weekly Hours — Total Private,0.3952004119894602,0.5655504373908912,0.2417634727193218,0.15757793502606474,0.11149668802755763,0.2154791036952452,0.11979243523546253,0.05093958463547312,0.18278024100038992,-0.035278971726582106,,0.6048591194982824,0.3119943722674671,0.023576498440648713,-0.3879458916078856,0.06719229229088211,-0.03192758400613121,-0.0009513776528595235,-0.12553992855775067,-0.06187130498956246,0.009589081937535451,0.21726111454075003,-0.02996157018371993,-0.059140514849834784,0.15499527168906205,0.12421238882396654,0.39003007657780847
Average Weekly Hours — Manufacturing,0.3802400552051925,0.5602523063028902,0.31155594230721206,0.09479611334299849,0.040358224546944745,0.39844247428850643,0.09798322348351945,0.0525367144990369,0.11331467719564252,0.09677492298025396,0.6048591194982824,,0.11588891452849899,-0.1686081956016194,-0.1720234461523765,-0.05182282447332706,-0.1386993606938819,-0.0033561267727137386,-0.0155187954324857,0.1589228211184157,0.07885614641410112,0.11958834394643018,-0.15020244686109202,-0.1774422354312641,0.043023070563702075,0.20763264884933114,0.3751953120676953
Job Openings,0.07171541895431548,0.08951268861100575,-0.30871150482990284,-0.09469217031027106,-0.10193654354938196,-0.19672419638964858,-0.2946771034935929,0.06582955192563882,0.14753573076879115,-0.21139021646547979,0.3119943722674671,0.11588891452849899,,-0.0839159362519494,-0.02736223973433674,0.2301940712094402,0.0846035177990502,0.15369572918941932,-0.021776686943329886,0.23815750503313243,0.19770537468752195,0.053844189169359055,0.06846043127558113,-0.1413576507487834,0.05672770528226341,0.08644995962750344,0.08687325183677375
Labor Force Participation Rate,0.04016891427000155,-0.036781725012399104,0.05783421018955895,0.05225873148761872,0.03920258729341636,0.05372779622121784,-0.12673990275218172,0.08159257582976188,0.22317240633331592,-0.07055243223112456,0.023576498440648713,-0.1686081956016194,-0.0839159362519494,,3.5847481011212405e-05,0.26305255556670004,0.2795065989189215,0.19275810508926225,0.14509445024980058,0.06220021760295851,0.09383892273376916,-0.14398271260173617,0.003113651825813201,0.14130180260200814,-0.053485234562364564,-0.05431870706513527,0.05433814680657015
Average Hourly Earnings — Total Private,-0.299822325941732,-0.2703461518749385,-0.09082171675117043,0.0017671083122586073,-0.21630965737400704,-0.09098859337407054,-0.3033798851964402,-0.057583694286125926,0.1979039005524305,-0.2701025455536465,-0.3879458916078856,-0.1720234461523765,-0.02736223973433674,3.5847481011212405e-05,,0.10302742621116547,0.2354636674501271,0.100898707347954,0.17909724672366442,0.11629627836356103,-0.03163285275006776,-0.034532240756957384,0.20771255626804316,0.08934246888819447,-0.1894963500178596,-0.07968622775054597,-0.26407094666889197
CPI All Items,0.15785784729952665,0.14618258658539385,-0.036244795138244766,-0.44899916901146125,-0.5333736845512418,0.09666246594102647,-0.12229529693051093,0.050467038664566144,0.5513338248638304,-0.28909620975630157,0.06719229229088211,-0.05182282447332706,0.2301940712094402,0.26305255556670004,0.10302742621116547,,0.6395154683809167,0.928610418579691,0.5495178596829386,0.6866885104020796,0.7082534675555838,0.33088613764948704,0.19599989503514165,0.12772010457771094,-0.19725641344643355,0.10526239438988541,0.2055177430813913
Core CPI,0.0691409442477783,0.03456090110359438,-0.18363507998899062,-0.14072805581388306,-0.17551605790735383,-0.14005971287500302,-0.03426154426035008,0.09302158902435285,0.634995155761861,-0.22681055807624287,-0.03192758400613121,-0.1386993606938819,0.0846035177990502,0.2795065989189215,0.2354636674501271,0.6395154683809167,,0.6164598463639999,0.7463750378199662,0.2755641837151707,0.24587758950547678,0.16533665271958256,0.2781132754596019,0.3421046940829384,-0.29287187892819866,-0.11919165989593805,0.11197940004671447
PCE Price Index,0.12169534441841731,0.12296622395649263,-0.0967066589531666,-0.5462730188347679,-0.5596456119821857,0.11561785622591353,-0.06451632502995151,0.03508653240419424,0.5112660533884494,-0.2734611269119672,-0.0009513776528595235,-0.0033561267727137386,0.15369572918941932,0.19275810508926225,0.100898707347954,0.928610418579691,0.6164598463639999,,0.7597518537069248,0.7347325629252102,0.7213364395611568,0.3836768905170293,0.2035642551846932,0.16884297653426011,-0.18644213113973593,0.1221419005663561,0.165549228269445
