,Industrial Production,Manufacturing Production,Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Real Personal Income,Real Retail & Food Services Sales,Housing Starts,Building Permits,Nonfarm Payroll Employment,Unemployment Rate,Average Weekly Hours — Total Private,Average Weekly Hours — Manufacturing,Job Openings,Labor Force Participation Rate,Average Hourly Earnings — Total Private,CPI All Items,Core CPI,PCE Price Index,Core PCE Price Index,Producer Prices — Final Demand,Producer Prices — All Commodities,Commercial & Industrial Loans,Consumer Credit,Federal Funds Rate,Total Bank Reserves,M2 Money Supply,Total Capacity Utilization
Industrial Production,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Manufacturing Production,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Real Personal Consumption Expenditure,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Real Personal Income excluding transfers,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Real Personal Income,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Real Retail & Food Services Sales,57,57,57,57,57,58,58,58,58,58,58,58,57,58,58,58,58,57,57,58,58,58,57,58,57,57,57
Housing Starts,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Building Permits,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Nonfarm Payroll Employment,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Unemployment Rate,57,57,57,57,57,58,58,58,58,58,58,58,57,58,58,58,58,57,57,58,58,58,57,58,57,57,57
Average Weekly Hours — Total Private,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Average Weekly Hours — Manufacturing,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Job Openings,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Labor Force Participation Rate,57,57,57,57,57,58,58,58,58,58,58,58,57,58,58,58,58,57,57,58,58,58,57,58,57,57,57
Average Hourly Earnings — Total Private,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
CPI All Items,57,57,57,57,57,58,58,58,58,58,58,58,57,58,58,58,58,57,57,58,58,58,57,58,57,57,57
Core CPI,57,57,57,57,57,58,58,58,58,58,58,58,57,58,58,58,58,57,57,58,58,58,57,58,57,57,57
PCE Price Index,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Core PCE Price Index,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Producer Prices — Final Demand,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Producer Prices — All Commodities,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Commercial & Industrial Loans,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Consumer Credit,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Federal Funds Rate,59,59,59,59,59,58,60,60,60,58,60,60,59,58,60,58,58,59,59,60,60,60,59,60,59,59,59
Total Bank Reserves,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
M2 Money Supply,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
Total Capacity Utilization,59,59,59,59,59,57,59,59,59,57,59,59,59,57,59,57,57,59,59,59,59,59,59,59,59,59,59
