Dataset 1,Dataset 2,Category 1,Category 2,Valid windows,First window end,Last window end,Latest window end,Latest correlation,Latest paired observations,Minimum correlation,Maximum correlation,Observed range
Industrial Production,Manufacturing Production,Growth / Activity,Growth / Activity,596,1977-01-01,2026-08-01,2026-08-01,0.8628140061861606,59,0.6499034382240821,0.9854853705393053,0.33558193231522315
Industrial Production,Real Personal Consumption Expenditure,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,0.3897703711097678,59,0.08716046458666649,0.9234239898684807,0.8362635252818142
Industrial Production,Real Personal Income excluding transfers,Growth / Activity,Growth / Activity,752,1964-01-01,2026-08-01,2026-08-01,0.01904272928446589,59,-0.0013716016931111525,0.933568386037338,0.9349399877304492
Industrial Production,Real Personal Income,Growth / Activity,Growth / Activity,752,1964-01-01,2026-08-01,2026-08-01,0.08101767900789403,59,-0.8636733579609367,0.6402379571857423,1.503911315146679
Industrial Production,Real Retail & Food Services Sales,Growth / Activity,Growth / Activity,356,1997-01-01,2026-08-01,2026-08-01,0.2617501280427805,57,-0.13159012769324252,0.8920018506308652,1.0235919783241076
Industrial Production,Housing Starts,Growth / Activity,Growth / Activity,752,1964-01-01,2026-08-01,2026-08-01,0.347452252628282,59,-0.31791678466597295,0.6836784947481961,1.0015952794141691
Industrial Production,Building Permits,Growth / Activity,Growth / Activity,740,1965-01-01,2026-08-01,2026-08-01,0.24544501279907244,59,-0.26900772489327623,0.6621313060264935,0.9311390309197698
Industrial Production,Nonfarm Payroll Employment,Growth / Activity,Labor,992,1944-01-01,2026-08-01,2026-08-01,0.1613592859635217,59,-0.1977911851579943,0.941992379635186,1.1397835647931802
Industrial Production,Unemployment Rate,Growth / Activity,Labor,884,1953-01-01,2026-08-01,2026-08-01,-0.008665157143578472,57,-0.9426359681612577,0.05170258538390553,0.9943385535451632
Industrial Production,Average Weekly Hours — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.3952004119894602,59,-0.013678617288452759,0.6187533205218921,0.6324319378103449
Industrial Production,Average Weekly Hours — Manufacturing,Growth / Activity,Labor,992,1944-01-01,2026-08-01,2026-08-01,0.3802400552051925,59,0.11489086446144374,0.9252616905860962,0.8103708261246525
Industrial Production,Job Openings,Growth / Activity,Labor,249,2005-12-01,2026-08-01,2026-08-01,0.07171541895431548,59,-0.2939404586104828,0.6586979270555964,0.9526383856660792
Industrial Production,Labor Force Participation Rate,Growth / Activity,Labor,884,1953-01-01,2026-08-01,2026-08-01,0.04016891427000155,57,-0.27693813112762894,0.8706236953975817,1.1475618265252105
Industrial Production,Average Hourly Earnings — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.299822325941732,59,-0.9106750847411006,0.17534436264457312,1.0860194473856737
Industrial Production,CPI All Items,Growth / Activity,Inflation,896,1952-01-01,2026-08-01,2026-08-01,0.15785784729952665,57,-0.3930540446527844,0.6583498933587139,1.0514039380114983
Industrial Production,Core CPI,Growth / Activity,Inflation,776,1962-01-01,2026-08-01,2026-08-01,0.0691409442477783,57,-0.37634832615154196,0.7707726540784066,1.1471209802299485
Industrial Production,PCE Price Index,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.12169534441841731,59,-0.40254294229565535,0.6086842614666,1.0112272037622554
Industrial Production,Core PCE Price Index,Growth / Activity,Inflation,752,1964-01-01,2026-08-01,2026-08-01,0.023994950153256284,59,-0.4636512330899759,0.6871237522404159,1.1507749853303917
Industrial Production,Producer Prices — Final Demand,Growth / Activity,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.2632016673811941,59,-0.016117432174435883,0.5241670651949495,0.5402844973693853
Industrial Production,Producer Prices — All Commodities,Growth / Activity,Inflation,1232,1924-01-01,2026-08-01,2026-08-01,0.23409185345554995,59,-0.2637459957513186,0.7002852028199936,0.9640311985713121
Industrial Production,Commercial & Industrial Loans,Growth / Activity,Credit,896,1952-01-01,2026-08-01,2026-08-01,0.07191015031202665,59,-0.8968641085145709,0.4919618350737014,1.3888259435882722
Industrial Production,Consumer Credit,Growth / Activity,Credit,944,1948-01-01,2026-08-01,2026-08-01,-0.17531294598611621,59,-0.3133000758470529,0.5899473270182036,0.9032474028652565
Industrial Production,Federal Funds Rate,Growth / Activity,Policy / Liquidity,806,1959-07-01,2026-08-01,2026-08-01,-0.06523064883112582,59,-0.21819367883546878,0.6438823881175924,0.8620760669530612
Industrial Production,Total Bank Reserves,Growth / Activity,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.09059158139161588,59,-0.8583927221179926,0.31252253405123676,1.1709152561692293
Industrial Production,M2 Money Supply,Growth / Activity,Policy / Liquidity,752,1964-01-01,2026-08-01,2026-08-01,0.145983398948038,59,-0.9339661513599231,0.35913696701709136,1.2931031183770145
Industrial Production,Total Capacity Utilization,Growth / Activity,External / Structural,656,1972-01-01,2026-08-01,2026-08-01,0.9954246428892749,59,0.9356661483469509,0.9992325473052516,0.06356639895830063
Manufacturing Production,Real Personal Consumption Expenditure,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,0.5110316689269657,59,-0.21678269397399422,0.9255449182888749,1.1423276122628692
Manufacturing Production,Real Personal Income excluding transfers,Growth / Activity,Growth / Activity,596,1977-01-01,2026-08-01,2026-08-01,0.13314184742052323,59,-0.05757054513754671,0.9497996543249667,1.0073701994625135
Manufacturing Production,Real Personal Income,Growth / Activity,Growth / Activity,596,1977-01-01,2026-08-01,2026-08-01,0.13457302578420247,59,-0.8869455813777588,0.5729747076557538,1.4599202890335126
Manufacturing Production,Real Retail & Food Services Sales,Growth / Activity,Growth / Activity,356,1997-01-01,2026-08-01,2026-08-01,0.47008763222187283,57,-0.07430333836190997,0.8997815790722785,0.9740849174341885
Manufacturing Production,Housing Starts,Growth / Activity,Growth / Activity,596,1977-01-01,2026-08-01,2026-08-01,0.326901942885821,59,-0.15860520575284728,0.6793886859046269,0.8379938916574742
Manufacturing Production,Building Permits,Growth / Activity,Growth / Activity,596,1977-01-01,2026-08-01,2026-08-01,0.2329290309039529,59,-0.2413878022853862,0.6864708252804168,0.927858627565803
Manufacturing Production,Nonfarm Payroll Employment,Growth / Activity,Labor,596,1977-01-01,2026-08-01,2026-08-01,0.20022602573751427,59,-0.12564817945216725,0.9550877487782066,1.080735928230374
Manufacturing Production,Unemployment Rate,Growth / Activity,Labor,596,1977-01-01,2026-08-01,2026-08-01,0.06654907909631684,57,-0.9518919137987765,0.2749072376634105,1.226799151462187
Manufacturing Production,Average Weekly Hours — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,0.5655504373908912,59,-0.014344368717888047,0.7149826018163132,0.7293269705342013
Manufacturing Production,Average Weekly Hours — Manufacturing,Growth / Activity,Labor,596,1977-01-01,2026-08-01,2026-08-01,0.5602523063028902,59,0.2326578045459429,0.9521287342154381,0.7194709296694952
Manufacturing Production,Job Openings,Growth / Activity,Labor,249,2005-12-01,2026-08-01,2026-08-01,0.08951268861100575,59,-0.04048315252689674,0.7179744693338708,0.7584576218607675
Manufacturing Production,Labor Force Participation Rate,Growth / Activity,Labor,596,1977-01-01,2026-08-01,2026-08-01,-0.036781725012399104,57,-0.22462424546058116,0.9110847166477775,1.1357089621083587
Manufacturing Production,Average Hourly Earnings — Total Private,Growth / Activity,Labor,186,2011-03-01,2026-08-01,2026-08-01,-0.2703461518749385,59,-0.9326767570061822,0.20097933424064782,1.13365609124683
Manufacturing Production,CPI All Items,Growth / Activity,Inflation,596,1977-01-01,2026-08-01,2026-08-01,0.14618258658539385,57,-0.33006672416319904,0.637347401872756,0.967414126035955
Manufacturing Production,Core CPI,Growth / Activity,Inflation,596,1977-01-01,2026-08-01,2026-08-01,0.03456090110359438,57,-0.4035586104188123,0.8014273435228868,1.2049859539416992
Manufacturing Production,PCE Price Index,Growth / Activity,Inflation,596,1977-01-01,2026-08-01,2026-08-01,0.12296622395649263,59,-0.35899636328431966,0.6064623853988892,0.9654587486832089
Manufacturing Production,Core PCE Price Index,Growth / Activity,Inflation,596,1977-01-01,2026-08-01,2026-08-01,0.010303120709365524,59,-0.4267781895094575,0.7115544416917852,1.1383326312012427
Manufacturing Production,Producer Prices — Final Demand,Growth / Activity,Inflation,142,2014-11-01,2026-08-01,2026-08-01,0.22415194685386716,59,0.05933825016066021,0.5228374691791917,0.4634992190185315
Manufacturing Production,Producer Prices — All Commodities,Growth / Activity,Inflation,596,1977-01-01,2026-08-01,2026-08-01,0.21196098054940746,59,-0.24802597465536755,0.723904316473335,0.9719302911287026
Manufacturing Production,Commercial & Industrial Loans,Growth / Activity,Credit,596,1977-01-01,2026-08-01,2026-08-01,0.07914517196464284,59,-0.9002029453986187,0.4628707793652011,1.3630737247638198
Manufacturing Production,Consumer Credit,Growth / Activity,Credit,596,1977-01-01,2026-08-01,2026-08-01,-0.08128504602961052,59,-0.32737091832670645,0.5541102846704778,0.8814812029971844
Manufacturing Production,Federal Funds Rate,Growth / Activity,Policy / Liquidity,596,1977-01-01,2026-08-01,2026-08-01,-0.06847364428978744,59,-0.18683255054439263,0.6241835016311712,0.8110160521755638
Manufacturing Production,Total Bank Reserves,Growth / Activity,Policy / Liquidity,596,1977-01-01,2026-08-01,2026-08-01,0.1136666900037454,59,-0.8520532188699143,0.30503115223264443,1.1570843711025587
Manufacturing Production,M2 Money Supply,Growth / Activity,Policy / Liquidity,596,1977-01-01,2026-08-01,2026-08-01,0.21582897637925308,59,-0.9349833683883307,0.4416408186143327,1.3766241870026634
Manufacturing Production,Total Capacity Utilization,Growth / Activity,External / Structural,596,1977-01-01,2026-08-01,2026-08-01,0.8579325008863942,59,0.6554516659993708,0.9833935397577924,0.32794187375842165
Real Personal Consumption Expenditure,Real Personal Income excluding transfers,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,0.31805933976505785,59,-0.2093844787488796,0.9216543441667157,1.1310388229155952
Real Personal Consumption Expenditure,Real Personal Income,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,0.16300186723947488,59,-0.7904090902388028,0.6854179193664235,1.4758270096052262
Real Personal Consumption Expenditure,Real Retail & Food Services Sales,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,0.8098525379246507,57,0.5081078420554193,0.9824600929607507,0.4743522509053314
Real Personal Consumption Expenditure,Housing Starts,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,0.21568065452519236,59,-0.047532353295961734,0.666632193925301,0.7141645472212628
Real Personal Consumption Expenditure,Building Permits,Growth / Activity,Growth / Activity,176,2012-01-01,2026-08-01,2026-08-01,-0.029087875774962812,59,-0.07161624330349103,0.6776466549628464,0.7492628982663374
Real Personal Consumption Expenditure,Nonfarm Payroll Employment,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,0.08556419301099683,59,-0.003585802324814849,0.8806854238753924,0.8842712262002073
Real Personal Consumption Expenditure,Unemployment Rate,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,0.052712701978487354,57,-0.8809056595309694,0.12112498475730442,1.0020306442882738
Real Personal Consumption Expenditure,Average Weekly Hours — Total Private,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,0.2417634727193218,59,-0.1052703685064405,0.5113206926628604,0.6165910611693008
Real Personal Consumption Expenditure,Average Weekly Hours — Manufacturing,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,0.31155594230721206,59,-0.39062315355760346,0.8616911782521098,1.2523143318097132
Real Personal Consumption Expenditure,Job Openings,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,-0.30871150482990284,59,-0.3235843620770722,0.8117064865907853,1.1352908486678575
Real Personal Consumption Expenditure,Labor Force Participation Rate,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,0.05783421018955895,57,-0.08765701954598161,0.8822971649983048,0.9699541845442864
Real Personal Consumption Expenditure,Average Hourly Earnings — Total Private,Growth / Activity,Labor,176,2012-01-01,2026-08-01,2026-08-01,-0.09082171675117043,59,-0.9139545094083146,0.07358440044684429,0.9875389098551589
Real Personal Consumption Expenditure,CPI All Items,Growth / Activity,Inflation,176,2012-01-01,2026-08-01,2026-08-01,-0.036244795138244766,57,-0.25376152865782925,0.6664117954493456,0.9201733241071748
Real Personal Consumption Expenditure,Core CPI,Growth / Activity,Inflation,176,2012-01-01,2026-08-01,2026-08-01,-0.18363507998899062,57,-0.33589937623368393,0.8046417778905222,1.140541154124206
Real Personal Consumption Expenditure,PCE Price Index,Growth / Activity,Inflation,176,2012-01-01,2026-08-01,2026-08-01,-0.0967066589531666,59,-0.26470452926948124,0.5927778685307206,0.8574823978002017
Real Personal Consumption Expenditure,Core PCE Price Index,Growth / Activity,Inflation,176,2012-01-01,2026-08-01,2026-08-01,-0.20793696497544914,59,-0.30318067543700034,0.6695896827575419,0.9727703581945423
Real Personal Consumption Expenditure,Producer Prices — Final Demand,Growth / Activity,Inflation,142,2014-11-01,2026-08-01,2026-08-01,-0.01116474917799746,59,-0.09833156847828077,0.49391956758317596,0.5922511360614567
